전체날짜,종목명,제목,본문
2022.06.02 10:16,카카오,시작되었도다,오늘 전설찍을날임
2022.06.02 10:28,카카오,25,"6 가즈아,,,,,,,,,,,,,"
2022.06.02 10:48,카카오,윤도리 당선효과 끝난거? ㅋㅋ 확장성 타령하던 놈들 딸딸이도 끝났네,카카오는 대표적 물적분할 기업이라서 매력 없다고 했더니 플랫폼 기업은 확장성이 생명이라면서 물고 빨던놈들 뭐하냐? 구글 같은 세계 최고의 플렛폼 기업들이 바보라서 물적분할로 확장성을 포기한거냐? 주주친화적 기업으로 갈껀지 2세 경영의 발판을 마련키 위한 복잡한 지배구조를 통해 증여에 미친 기업으로 갈껀지 이정도는 보고 장투를 하던가.
2022.06.02 10:49,카카오,아직 월급 안받고 계시겠죠?,뻥이었나?
2022.06.02 10:54,카카오,네이버 따라가야쥬,고고싱
2022.06.02 10:58,카카오,네이버는 양봉 카카오는 음봉 주도주 아닌데 왜삼,유투브에서 사라고해서 니들이사면 절대안오른다.그리고 주도주 천보 앨엔에프 에코프로비엠이다 가서 차트좀봐라 어휴 돈을못버는이유는 공부안하고 유트브보고 사서다
2022.06.02 10:59,카카오,카카오,잘될거야~~
2022.06.02 11:03,카카오,카카오 화이팅!,오늘 기운내서 상승세 타보자 추가매입해서 빨리빨리 십만원선
2022.06.02 11:20,카카오,얘는 회생 방법이 없나보네,오너의 한계정이 나오는건가? 거의 쓰레기 기업
2022.06.02 11:59,카카오,JP 개 .ㅅ.ㄲ.야,"공먀 좀 그만 해...좀 올라가자...
이 쓰레기 ㅅ.ㄲ....조금만 올랐다 싶으면 공매질이야...망해라 유대 자본놈아....정공으로 주식을 하란 말이야...이 버.러.지. ㅅ.ㄲ.야..."
2022.06.02 12:05,카카오,카카오 ~~오~~,주요 사업부 고성장세가 유지된다는 가정 하에 정당화될 수 있는 밸류에이션으로 판단. 투자포인트 픽코마 모델을 기반으로 한 글로벌 웹툰 시장 공략 가속화. 웹툰 뿐만 아니라 게임 영역에서도 고성장.'라고 분석했다
2022.06.02 12:15,카카오,몇칠전부터 네이버사라니깐,아직안샀어??답답하네
2022.06.02 12:24,카카오,네이버랑 비교하지마라,네이버가 카카오처럼 여기저기 상장시켜서 몸파는 창*로 보이나
2022.06.02 12:31,카카오,더 이상 시끄럽게 하지 말고 올라가자,모두가 힘을 합쳐서 올라가자 영차영차 올라가자
2022.06.02 12:36,카카오,정신차려라,네이놈 15만간다는놈이 8만대에서 장난하냐 두배가올라야 되는상황에 빨리 올려놔라 니네들 배만 채울생각말고 주주랑 같이 배좀 불리자 ..빨리 상한가 한방날려라
2022.06.02 12:38,카카오,평단 놀이 시작,81500원 내리고있지만 웃을수있다
2022.06.02 12:58,카카오,아하…,이제 한숨도 안나온다.
2022.06.02 13:01,카카오,킹 갓 매 공,나베르로 대피하시오~
2022.06.02 13:08,카카오,개카오 마지막 발악,"문재인 주도주를 윤석열이 올려준다? ㅋㅋㅋ
말이되냐?"
2022.06.02 13:09,카카오,반토막 카카오는 언제쯤이나 오를려나.,진짜..환장 하겠다. 범수야. 1년 내내 쳐 맞는거 보고만 있으면 재밌냐?
2022.06.02 13:11,카카오,증권가 목표가 높은이유,지들도 물렸거덩 탈출해야 되거덩
2022.06.02 13:15,카카오,세번째 물어봅니다...평단 9만원 1000주 피가 마릅니다...,"타는 목마름으로
6월달안에 탈출 가능할까요..?"
2022.06.02 13:30,카카오,아직도 영두빼밀리사라고부추기던데,슈퍼개미 맞어 그냥 월 회원수로 1억씩 챙겨가나
